time,strain,sr
0,control,100
0,control,100
0,ph1339,100
0,ph1339,100
0,ph1339,100
0,ph1273,100
0,ph1273,100
0,ph1273,100
0,ph1401,100
0,ph1401,100
0,ph1401,100
0,ph1409,100
0,ph1409,100
0,ph1409,100
4,control,100
4,control,100
4,ph1339,100
4,ph1339,100
4,ph1339,100
4,ph1273,100
4,ph1273,100
4,ph1273,100
4,ph1401,100
4,ph1401,100
4,ph1401,100
4,ph1409,100
4,ph1409,100
4,ph1409,100
8,control,100
8,control,100
8,ph1339,100
8,ph1339,100
8,ph1339,100
8,ph1273,100
8,ph1273,100
8,ph1273,100
8,ph1401,100
8,ph1401,100
8,ph1401,100
8,ph1409,100
8,ph1409,100
8,ph1409,100
12,control,100
12,control,100
12,ph1339,100
12,ph1339,100
12,ph1339,100
12,ph1273,100
12,ph1273,100
12,ph1273,100
12,ph1401,100
12,ph1401,100
12,ph1401,100
12,ph1409,100
12,ph1409,100
12,ph1409,100
16,control,100
16,control,100
16,ph1339,100
16,ph1339,100
16,ph1339,100
16,ph1273,100
16,ph1273,100
16,ph1273,100
16,ph1401,100
16,ph1401,100
16,ph1401,100
16,ph1409,100
16,ph1409,100
16,ph1409,100
20,control,100
20,control,100
20,ph1339,100
20,ph1339,100
20,ph1339,100
20,ph1273,100
20,ph1273,100
20,ph1273,100
20,ph1401,100
20,ph1401,100
20,ph1401,100
20,ph1409,100
20,ph1409,100
20,ph1409,100
24,control,100
24,control,100
24,ph1339,100
24,ph1339,100
24,ph1339,100
24,ph1273,100
24,ph1273,83.33
24,ph1273,100
24,ph1401,100
24,ph1401,94.44
24,ph1401,100
24,ph1409,100
24,ph1409,100
24,ph1409,100
28,control,100
28,control,100
28,ph1339,94.44
28,ph1339,100
28,ph1339,100
28,ph1273,100
28,ph1273,83.33
28,ph1273,100
28,ph1401,100
28,ph1401,88.89
28,ph1401,100
28,ph1409,100
28,ph1409,100
28,ph1409,100
32,control,100
32,control,100
32,ph1339,83.33
32,ph1339,100
32,ph1339,100
32,ph1273,100
32,ph1273,83.33
32,ph1273,100
32,ph1401,100
32,ph1401,77.78
32,ph1401,100
32,ph1409,100
32,ph1409,100
32,ph1409,100
36,control,100
36,control,100
36,ph1339,61.11
36,ph1339,77.78
36,ph1339,88.89
36,ph1273,100
36,ph1273,83.33
36,ph1273,100
36,ph1401,88.89
36,ph1401,55.56
36,ph1401,100
36,ph1409,100
36,ph1409,100
36,ph1409,100
40,control,100
40,control,100
40,ph1339,44.44
40,ph1339,38.89
40,ph1339,72.22
40,ph1273,100
40,ph1273,83.33
40,ph1273,94.44
40,ph1401,83.33
40,ph1401,27.78
40,ph1401,77.78
40,ph1409,100
40,ph1409,100
40,ph1409,100
44,control,100
44,control,100
44,ph1339,44.44
44,ph1339,22.22
44,ph1339,72.22
44,ph1273,100
44,ph1273,83.33
44,ph1273,94.44
44,ph1401,83.33
44,ph1401,0
44,ph1401,66.67
44,ph1409,100
44,ph1409,100
44,ph1409,100
48,control,100
48,control,100
48,ph1339,35.29
48,ph1339,11.76
48,ph1339,70.59
48,ph1273,100
48,ph1273,82.35
48,ph1273,94.12
48,ph1401,82.35
48,ph1401,0
48,ph1401,58.82
48,ph1409,100
48,ph1409,100
48,ph1409,100
52,control,100
52,control,100
52,ph1339,17.65
52,ph1339,11.76
52,ph1339,47.06
52,ph1273,100
52,ph1273,82.35
52,ph1273,94.12
52,ph1401,58.82
52,ph1401,0
52,ph1401,41.18
52,ph1409,100
52,ph1409,100
52,ph1409,100
56,control,100
56,control,100
56,ph1339,17.65
56,ph1339,11.76
56,ph1339,23.53
56,ph1273,100
56,ph1273,82.35
56,ph1273,94.12
56,ph1401,58.82
56,ph1401,0
56,ph1401,41.18
56,ph1409,100
56,ph1409,100
56,ph1409,100
60,control,100
60,control,100
60,ph1339,0
60,ph1339,0
60,ph1339,0
60,ph1273,100
60,ph1273,81.25
60,ph1273,93.75
60,ph1401,43.75
60,ph1401,0
60,ph1401,12.5
60,ph1409,100
60,ph1409,100
60,ph1409,100
64,control,100
64,control,100
64,ph1339,0
64,ph1339,0
64,ph1339,0
64,ph1273,100
64,ph1273,81.25
64,ph1273,93.75
64,ph1401,43.75
64,ph1401,0
64,ph1401,12.5
64,ph1409,100
64,ph1409,100
64,ph1409,100
68,control,100
68,control,100
68,ph1339,0
68,ph1339,0
68,ph1339,0
68,ph1273,100
68,ph1273,81.25
68,ph1273,93.75
68,ph1401,43.75
68,ph1401,0
68,ph1401,12.5
68,ph1409,100
68,ph1409,100
68,ph1409,100
72,control,100
72,control,100
72,ph1339,0
72,ph1339,0
72,ph1339,0
72,ph1273,100
72,ph1273,81.25
72,ph1273,93.75
72,ph1401,43.75
72,ph1401,0
72,ph1401,12.5
72,ph1409,100
72,ph1409,100
72,ph1409,100
0,control,100
0,control,100
0,control,100
0,control,100
4,control,100
4,control,100
4,control,100
4,control,100
8,control,100
8,control,100
8,control,100
8,control,100
12,control,100
12,control,100
12,control,100
12,control,100
16,control,100
16,control,100
16,control,100
16,control,100
20,control,100
20,control,100
20,control,100
20,control,100
24,control,100
24,control,100
24,control,100
24,control,100
28,control,100
28,control,100
28,control,100
28,control,100
32,control,100
32,control,100
32,control,100
32,control,100
36,control,100
36,control,100
36,control,100
36,control,100
40,control,100
40,control,100
40,control,100
40,control,100
44,control,100
44,control,100
44,control,100
44,control,100
48,control,100
48,control,100
48,control,100
48,control,100
52,control,100
52,control,100
52,control,100
52,control,100
56,control,100
56,control,100
56,control,100
56,control,100
60,control,100
60,control,100
60,control,100
60,control,100
64,control,100
64,control,100
64,control,100
64,control,100
68,control,100
68,control,100
68,control,100
68,control,100
72,control,100
72,control,100
72,control,100
72,control,100
0,ph1339,100
0,ph1339,100
0,ph1339,100
0,ph1339,100
4,ph1339,100
4,ph1339,100
4,ph1339,100
4,ph1339,100
8,ph1339,55.17
8,ph1339,96.55
8,ph1339,58.62
8,ph1339,24.14
12,ph1339,10.34
12,ph1339,0
12,ph1339,20.69
12,ph1339,20.69
16,ph1339,6.9
16,ph1339,0
16,ph1339,3.45
16,ph1339,17.24
20,ph1339,0
20,ph1339,0
20,ph1339,0
20,ph1339,3.45
24,ph1339,0
24,ph1339,0
24,ph1339,0
24,ph1339,0
28,ph1339,0
28,ph1339,0
28,ph1339,0
28,ph1339,0
32,ph1339,0
32,ph1339,0
32,ph1339,0
32,ph1339,0
36,ph1339,0
36,ph1339,0
36,ph1339,0
36,ph1339,0
40,ph1339,0
40,ph1339,0
40,ph1339,0
40,ph1339,0
44,ph1339,0
44,ph1339,0
44,ph1339,0
44,ph1339,0
48,ph1339,0
48,ph1339,0
48,ph1339,0
48,ph1339,0
52,ph1339,0
52,ph1339,0
52,ph1339,0
52,ph1339,0
56,ph1339,0
56,ph1339,0
56,ph1339,0
56,ph1339,0
60,ph1339,0
60,ph1339,0
60,ph1339,0
60,ph1339,0
64,ph1339,0
64,ph1339,0
64,ph1339,0
64,ph1339,0
68,ph1339,0
68,ph1339,0
68,ph1339,0
68,ph1339,0
72,ph1339,0
72,ph1339,0
72,ph1339,0
72,ph1339,0
0,ph1273,100
0,ph1273,100
0,ph1273,100
0,ph1273,100
4,ph1273,100
4,ph1273,100
4,ph1273,100
4,ph1273,100
8,ph1273,100
8,ph1273,100
8,ph1273,100
8,ph1273,100
12,ph1273,100
12,ph1273,100
12,ph1273,100
12,ph1273,100
16,ph1273,100
16,ph1273,100
16,ph1273,100
16,ph1273,100
20,ph1273,100
20,ph1273,100
20,ph1273,100
20,ph1273,100
24,ph1273,100
24,ph1273,100
24,ph1273,100
24,ph1273,100
28,ph1273,100
28,ph1273,100
28,ph1273,100
28,ph1273,100
32,ph1273,100
32,ph1273,100
32,ph1273,100
32,ph1273,100
36,ph1273,100
36,ph1273,100
36,ph1273,100
36,ph1273,100
40,ph1273,100
40,ph1273,100
40,ph1273,100
40,ph1273,100
44,ph1273,100
44,ph1273,100
44,ph1273,100
44,ph1273,100
48,ph1273,100
48,ph1273,100
48,ph1273,100
48,ph1273,100
52,ph1273,100
52,ph1273,100
52,ph1273,100
52,ph1273,100
56,ph1273,100
56,ph1273,100
